Wavelength (nm)	Transmission (%)
663.00	0.98211997747421
664.00	0.98347002267838
665.00	0.98497498035431
666.00	0.98470902442932
667.00	0.98188102245331
668.00	0.98221802711487
669.00	0.98063397407532
670.00	0.98159599304199
671.00	0.98237901926041
672.00	0.98208701610565
673.00	0.9816820025444
674.00	0.98258602619171
675.00	0.98267602920532
676.00	0.98284697532654
677.00	0.98306602239609
678.00	0.98343998193741
679.00	0.9847109913826
680.00	0.98386299610138
681.00	0.98510199785233
682.00	0.98515397310257
683.00	0.98594099283218
684.00	0.98755997419357
685.00	0.98695200681686
686.00	0.98762702941895
687.00	0.98805397748947
688.00	0.98747700452805
689.00	0.98715502023697
690.00	0.98631197214127
691.00	0.98653197288513
692.00	0.98661297559738
693.00	0.98660600185394
694.00	0.98662000894547
695.00	0.98622900247574
696.00	0.98647999763489
697.00	0.98883301019669
698.00	0.98888397216797
699.00	0.98980700969696
700.00	0.98992800712585
701.00	0.98882800340652
702.00	0.98702299594879
703.00	0.98900902271271
704.00	0.98943501710892
705.00	0.9886149764061
706.00	0.98863399028778
707.00	0.98845100402832
708.00	0.98782402276993
709.00	0.98738700151443
710.00	0.98743498325348
711.00	0.98589301109314
712.00	0.9858980178833
713.00	0.985042989254
714.00	0.98517501354218
715.00	0.9843590259552
716.00	0.98399299383163
717.00	0.98407399654388
718.00	0.98329597711563
719.00	0.98328697681427
720.00	0.9818400144577
721.00	0.9825080037117
722.00	0.9830219745636
723.00	0.98270398378372
724.00	0.98323398828506
725.00	0.98280900716782
726.00	0.98489099740982
727.00	0.98581898212433
728.00	0.98629599809647
729.00	0.98690497875214
730.00	0.98684698343277
731.00	0.98772197961807
732.00	0.98789197206497
733.00	0.98699802160263
734.00	0.98666197061539
735.00	0.98734402656555
736.00	0.98622298240662
737.00	0.98626798391342
738.00	0.98652702569962
739.00	0.98603397607803
740.00	0.9857439994812
741.00	0.98628002405167
742.00	0.98557299375534
743.00	0.98406201601028
744.00	0.98628801107407
745.00	0.98409301042557
746.00	0.984699010849
747.00	0.98517900705338
748.00	0.98601800203323
749.00	0.98637402057648
750.00	0.987056016922
751.00	0.98702800273895
752.00	0.98751997947693
753.00	0.98718202114105
754.00	0.98647797107697
755.00	0.98818498849869
756.00	0.98772799968719
757.00	0.98786199092865
758.00	0.98836398124695
759.00	0.98773699998856
760.00	0.98734098672867
761.00	0.98769599199295
