rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanPvLeak,stdevPvLeak,minPvLeak,maxPvLeak,X,Y,Z,capLogical,venLogical,artLogical,midLogical,preLogical,pstLogical,midCapLogical,preCapLogical,pstCapLogical,midVenLogical,preVenLogical,pstVenLogical,midArtLogical,preArtLogical,pstArtLogical,group
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_03,5.11688587722026,0.10834151714312,4.95544648903638,5.24666914102832,0.743786068567057,0.0023432984621284,0.741014550011285,0.747885900229072,433.0,400.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_04,5.53716988864745,0.143102635518135,5.30041165950469,5.74944691141611,0.744901788458789,0.0016334410431931,0.742627845736913,0.747627337728905,435.5,361.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_05,5.39442671702001,0.265210199345804,5.06364699794864,5.78658516443286,0.742830024835837,0.0020930870919269,0.740413399043899,0.74651521403361,399.0,379.5,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_06,6.73838428084413,0.507109949518426,6.31744767025292,7.67432608448116,0.743383663726053,0.0043810616934845,0.736943774274854,0.749024843639366,470.5,336.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_07,3.72534380217644,0.240477835588758,3.27063453409358,3.95561227276437,0.743079054365299,0.0029557381100068,0.737786974886558,0.7468681656525,475.5,304.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_08,5.25725686597942,0.427128583365584,4.32958326534318,6.02688457514373,0.745916735278853,0.0020779972457157,0.742252882084492,0.749052222019521,390.0,171.5,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_09,4.48531978777184,0.114680576709319,4.33161276474315,4.6608581765627,0.717818157890204,0.0139433335959176,0.700171498957699,0.73695319726207,432.0,123.5,45.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_10,4.13275384440777,0.0932711611678143,4.03710314443975,4.35057127143188,0.744874125561013,0.0013869109837618,0.743076040128095,0.74758927506827,428.5,155.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_11,3.73251167979526,0.121210225787221,3.53511217595419,3.8605379421267,0.743100354651943,0.0025701880386424,0.739781983420972,0.747549656502003,170.0,365.5,105.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_14,6.32999396965438,0.0735958409064512,6.18148916304549,6.40534743741495,0.746999375648217,0.0002625001340046,0.746594156683491,0.74740755022771,51.5,36.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_15,3.68708978495691,0.0307406011285695,3.63988887861652,3.72622531060976,0.747385001837646,0.0001644838952881,0.747181656660924,0.747560573352805,186.0,66.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_16,4.03776796414838,0.169670432769755,3.62598668826297,4.20837599010211,0.746256300493652,0.0006774293080573,0.744946124221673,0.746942590244265,340.0,199.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_17,3.85853547499298,0.0653661218352276,3.75118363138495,3.94425956527473,0.745407159861505,0.0004712604790722,0.744431911958355,0.745899676258993,277.0,264.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_18,4.33848193169416,0.0990828760670758,4.18846443945998,4.48431576018749,0.747079696578341,0.0001764943363513,0.746764637017591,0.747322214215882,250.5,311.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_19,3.74345505812875,0.118808916086438,3.56252797474599,3.92635596545212,0.746307313220364,0.000914819248792,0.744041956320573,0.74722320779087,95.5,446.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_20,3.52834811161983,0.103685697254418,3.301931179332,3.63583491814333,0.744466417436368,0.0008503536512495,0.743489382814425,0.745845093472548,227.5,383.5,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_21,3.03772116003724,0.0502920366156553,2.89800239709654,3.07121231642671,0.74523123876967,0.0005849381656032,0.744413457453695,0.746150028147539,404.0,452.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_22,4.45612843832791,0.109190361870356,4.3026007750868,4.63116859946758,0.746973008602867,0.0002465503064688,0.746558033362066,0.747335393654528,315.0,487.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_23,3.86352810688915,0.101887348015566,3.69075547882972,3.97354913988228,0.741789892047774,0.0012440925889221,0.739872528928351,0.744395914257943,250.5,32.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_24,5.87396909866828,0.196887323842281,5.6410623216788,6.21080350066604,0.745257504082498,0.0004180145633504,0.744457022494933,0.745743396782218,291.5,186.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_25,4.86512934890038,0.0526124528417605,4.80961749132167,4.99024593088987,0.745478546897591,0.0006369599614827,0.744370979545519,0.74636761121812,42.0,265.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_26,5.21805414874741,0.176677172675463,4.98334431314238,5.45957589649983,0.738458128811552,0.0028749849957469,0.733794863137906,0.742726616625126,325.0,304.5,45.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
