stdevFWHM,stdevFeFv,group,vessel_type,filename
0.263042406676948,0.115738989877219,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.172603043537995,0.192174714352655,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.152337769169942,0.241456102072747,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0941886568407015,0.0855411460709335,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.102724396006695,0.175075377159133,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.18786195666549,0.141532516404088,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0537448163884109,0.0841478512674275,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0767633265913942,0.0621940684965767,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.115363837028828,0.139048078920856,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0638995361682924,0.0679041633971491,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.162583291622162,0.2235371024656,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0982441053360172,0.289882298767977,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
