rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanFeFv,stdevFeFv,minFeFv,maxFeFv,X,Y,Z,capLogical,venLogical,group
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_15,3.13166989905476,0.025444933038853,3.09782852274752,3.18761834935934,0.799315591013328,0.153540555914542,0.628987253177056,1.03876298657384,217.0,196.5,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_16,2.90965669633107,0.0859114560355489,2.78241823845347,3.03810494801505,1.27243282065131,0.127941681449701,1.15627726946377,1.57190528464664,213.0,170.5,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_17,3.56239395669315,0.171405328038202,3.31377465472214,3.78919220817961,0.395524372329454,0.093818975515659,0.250731890701311,0.571751085300943,358.0,63.5,15.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_18,5.08191733222688,0.0901990935586228,4.95252251687972,5.26476053882496,1.61802364430339,0.229635608849143,1.30721912830556,1.95302727223974,161.5,461.5,55.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_19,4.05605557297699,0.163531904048281,3.81827996543859,4.25400662237143,0.488904865318822,0.0664880531181934,0.339725313194628,0.601463280630562,131.0,448.5,50.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_20,3.27725885656989,0.352657417086655,2.78025725953261,4.04470825458384,1.31671566382486,0.414744271014079,0.669032214284986,2.33587179495458,494.5,199.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_21,9.16546343137058,0.151210059562666,8.91616631251153,9.32548189790034,0.190831897665557,0.0406589039534576,0.123264590648567,0.243941421707154,409.5,103.5,70.0,0.0,1.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_22,4.34617325241474,0.263042406676948,3.82448104449268,4.62176009435455,0.608207140012604,0.115738989877219,0.432478047690328,0.764776362503869,63.0,292.5,95.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_23,,,,,,,,,443.5,243.5,55.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_24,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_25,,,,,,,,,,,,,,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_26,,,,,,,,,,,,,,A
